dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
2B,2B303,490,359,355,49,83,73.27,13.80,23.38,Pont-de-Buis-lès-Quimerch
2B,2B304,141,81,78,20,18,57.45,25.64,23.08,Pont-de-Buis-lès-Quimerch
2B,2B305,2078,1550,1486,510,241,74.59,34.32,16.22,Pont-de-Buis-lès-Quimerch
2B,2B306,147,75,75,33,5,51.02,44.00,6.67,Pont-de-Buis-lès-Quimerch
2B,2B307,940,658,645,75,269,70,11.63,41.71,Pont-de-Buis-lès-Quimerch
2B,2B309,1749,1261,1232,254,327,72.1,20.62,26.54,Pont-de-Buis-lès-Quimerch
2B,2B311,661,445,436,71,191,67.32,16.28,43.81,Pont-de-Buis-lès-Quimerch
2B,2B313,1210,839,824,159,309,69.34,19.30,37.50,Pont-de-Buis-lès-Quimerch
2B,2B314,374,238,231,40,67,63.64,17.32,29.00,Pont-de-Buis-lès-Quimerch
2B,2B315,307,239,236,56,42,77.85,23.73,17.80,Pont-de-Buis-lès-Quimerch
2B,2B316,726,475,465,110,105,65.43,23.66,22.58,Pont-de-Buis-lès-Quimerch
2B,2B317,101,57,54,11,13,56.44,20.37,24.07,Pont-de-Buis-lès-Quimerch
2B,2B318,504,350,343,50,75,69.44,14.58,21.87,Pont-de-Buis-lès-Quimerch
2B,2B319,555,352,347,49,149,63.42,14.12,42.94,Pont-de-Buis-lès-Quimerch
2B,2B320,254,160,158,28,36,62.99,17.72,22.78,Pont-de-Buis-lès-Quimerch
2B,2B321,46,25,24,5,6,54.35,20.83,25.00,Pont-de-Buis-lès-Quimerch
2B,2B327,212,158,152,57,25,74.53,37.50,16.45,Pont-de-Buis-lès-Quimerch
2B,2B328,157,83,74,30,11,52.87,40.54,14.86,Pont-de-Buis-lès-Quimerch
2B,2B329,98,60,58,5,12,61.22,8.62,20.69,Pont-de-Buis-lès-Quimerch
2B,2B332,201,139,134,25,14,69.15,18.66,10.45,Pont-de-Buis-lès-Quimerch
2B,2B333,136,92,88,12,23,67.65,13.64,26.14,Pont-de-Buis-lès-Quimerch
2B,2B334,161,97,96,28,23,60.25,29.17,23.96,Pont-de-Buis-lès-Quimerch
2B,2B335,320,199,193,36,46,62.19,18.65,23.83,Pont-de-Buis-lès-Quimerch
2B,2B337,197,120,113,7,25,60.91,6.19,22.12,Pont-de-Buis-lès-Quimerch
2B,2B338,90,55,54,12,17,61.11,22.22,31.48,Pont-de-Buis-lès-Quimerch
2B,2B339,40,28,27,5,3,70,18.52,11.11,Pont-de-Buis-lès-Quimerch
2B,2B340,127,71,71,10,20,55.91,14.08,28.17,Pont-de-Buis-lès-Quimerch
2B,2B341,651,437,427,122,89,67.13,28.57,20.84,Pont-de-Buis-lès-Quimerch
2B,2B342,1851,1249,1212,174,562,67.48,14.36,46.37,Pont-de-Buis-lès-Quimerch
2B,2B343,1079,713,703,96,252,66.08,13.66,35.85,Pont-de-Buis-lès-Quimerch
2B,2B344,69,57,54,6,4,82.61,11.11,7.41,Pont-de-Buis-lès-Quimerch
2B,2B346,1967,1382,1331,363,326,70.26,27.27,24.49,Pont-de-Buis-lès-Quimerch
2B,2B347,367,227,226,73,34,61.85,32.30,15.04,Pont-de-Buis-lès-Quimerch
2B,2B350,183,111,105,6,31,60.66,5.71,29.52,Pont-de-Buis-lès-Quimerch
2B,2B352,216,160,153,17,45,74.07,11.11,29.41,Pont-de-Buis-lès-Quimerch
2B,2B353,2176,1612,1574,317,343,74.08,20.14,21.79,Pont-de-Buis-lès-Quimerch
2B,2B354,334,197,194,55,22,58.98,28.35,11.34,Pont-de-Buis-lès-Quimerch
2B,2B355,374,238,221,35,83,63.64,15.84,37.56,Pont-de-Buis-lès-Quimerch
2B,2B356,198,128,126,22,30,64.65,17.46,23.81,Pont-de-Buis-lès-Quimerch
2B,2B361,230,162,157,23,22,70.43,14.65,14.01,Pont-de-Buis-lès-Quimerch
2B,2B364,67,49,48,9,6,73.13,18.75,12.50,Pont-de-Buis-lès-Quimerch
2B,2B365,254,135,135,62,16,53.15,45.93,11.85,Pont-de-Buis-lès-Quimerch
2B,2B366,189,129,123,34,6,68.25,27.64,4.88,Pont-de-Buis-lès-Quimerch
